;ClueTR;ClueEN
10;Altta yatan komorbitideler .Obezitede tedavisindeki başarı komorbitedelerde iyileşme göstereceği için hasta yaşam kalitesi artmış bir şekilde ve kendi daha mutlu hissediyor olması benım için önemli.Mesleki tatmin duygum artıyor.;Underlying comorbidities. Since success in the treatment of obesity will show improvement in comorbidities, it is important for me that the patient's quality of life increases and he feels happier. My sense of professional satisfaction increases.
11;Pandemi ile birlikte dijital hayatııza girdikten sonra dijital öğrenimim arttı. Fakat özellikle dijital yaklaşımlar tüm bilgi akışımın %20 si olduğunu söyleyebilirim. Kanaat önderi hocalar ile birebir temas kurabileceğimiz ve aklımızdaki soruların cevabını ilk ağızdan öğrenebileceğimiz toplantı bveya sempozyumlar ilgimi çekecektir. Bunu belirtmemin nedeni özellikle hocalara fiziksel ulaşmanın zor olması, fakat direk hocalarla temas kurabilsem bu beni çok mutlu eder.;My digital learning increased after entering our digital lives with the pandemic. But I can say that especially digital approaches constitute 20% of my entire information flow. I would be interested in meetings or symposiums where we can have one-on-one contact with opinion leaders and learn the answers to our questions firsthand. The reason I mention this is that it is difficult to reach the teachers physically, but it would make me very happy if I could contact the teachers directly.
12;Mesleki gelişimim açısından dijital kanalları hızlı ve kolay ulaşılabilirliği açısından değerlendiriyorum. Özellikle güncel klinik çalışmaları takip etmek ve bunlardan yararlanmak ve uaşmak çok kolay oluyor. Teknoloji dünyasında bilgiye kolay ulaşmak hem mesleki hemde klinik başarı açısından çok kolay oluyor ve ben bu şekilde hastalarıma en hızlı tedavi seçeneklerini sunarak hastalarımı ve kendi mutluluğumu sağlamış oluyorum.;In terms of my professional development, I evaluate digital channels in terms of their fast and easy accessibility. It is especially easy to follow, benefit from and access current clinical studies. In the world of technology, easy access to information is very easy for both professional and clinical success, and in this way, I ensure my patients' and my own happiness by offering the fastest treatment options to my patients.
13;Geri ödeme  kapsamında olmayan ilaçları önerirken önceliğim, ulaşılabilir olması, fiyat ve etki arasında doğru orantı bulunması ve uygulanması kolay bir ürün önermeye çalışıyorum. Hastalarımı ikna ederken öncelikle önerdiğim ürün ile sağlayacakları faydayı ve bu fayda ile yaşam kalitelerinin ne kadar artacağını vurgularım. Herşeyi deneyen ve çözüm bulamayan hastalarım benim sunduğum ile çözüm bulması beni mutlu ediyor.;My priority when recommending drugs that are not covered by reimbursement is that they are accessible, that there is a correct ratio between price and effect, and that I try to recommend a product that is easy to apply. When convincing my patients, I first emphasize the benefits they will receive from the product I recommend and how much their quality of life will increase with this benefit. I am happy that my patients, who have tried everything and cannot find a solution, find a solution with what I offer.
14;Obezite tedavisinden önceliğim hastalarımın vücüt kitle endeksi ve ne kadar süre boyunca obez olduklarını değerlendriyorum. Yüksek vki , uzun süredir obez olması, diyet , egzersiz ve buna benzer kilo verme seçeneklerini uygulayıp ne kadar başarılı olduğunu değerlendiriyorum. Herşeyi denemiş ve çözüm bulamamışsa artık hastayı mental olarak yormama adına ilaç tedavisi ekliyorum. Bu şekilde hastalarım daha az efor ile daha iyi kilo vererek klinik anlamda benş mutlu ediyorlar.;My priority in obesity treatment is to evaluate my patients' body mass index and how long they have been obese. Due to his high BMI, being obese for a long time, I apply diet, exercise and similar weight loss options and evaluate how successful he is. If the patient has tried everything and cannot find a solution, I add medication to avoid tiring the patient mentally. In this way, my patients become clinically happy by losing weight better with less effort.
15;Mesleki olarak dijital toplantı ve yayınları okuyorum. Firmalar tarafından gönderilen mail içeriklerini okumuyorum. Mesleki gelişim açısından online toplantı ve kongreleri takip ediyorum ve olabildiğince katılıyorum. Online anlık takip edebileceğim içerikler ile hem güncel yayınları takip edebiliyorum hemde tedavi uygularken güncel yaklaşımları hastalarıma sunabiliyorum. Bu hastalarımın yaşam kalitesini artırdığı gibi benimde tedavi olan hasta bakımından polikilinik anlamda konfor yaşamamı sağlıyor.;Professionally, I read digital meetings and publications. I do not read the contents of e-mails sent by companies. In terms of professional development, I follow online meetings and congresses and participate as much as possible. With the content I can follow instantly online, I can both follow current publications and present current approaches to my patients while applying treatment. This not only improves the quality of life of my patients, but also allows me to experience comfort in terms of outpatient care for the patients being treated.
16;Obezite tedavisine başlarken hastalarımı hem psikolojik hemde sosyolojik açıdan değerlendiriyorum. Obezitenin bir tedavi edilmesi gereken hastalık olduğunu ve hastalarımın bu zorlu tedavi sürecine hem psikolojik hemde sosyal açıdan hazır olması tedavi başarımı artıracaktır. Ayrıca hastalarımı klinik olarak değerlendirerek takip süreçlerini inceliyorum ve bunları klinik çalışma olarak sunacağım. Bu çalışmalar sonucunda akademik kariyer basamaklarını çıkarken bana yardımcı olacaktır ve hedeflerime ulaşmak benim motive ediyor;When starting obesity treatment, I evaluate my patients both psychologically and sociologically. Obesity is a disease that needs to be treated, and my patients' preparation for this difficult treatment process both psychologically and socially will increase my treatment success. I also evaluate my patients clinically and examine their follow-up processes, and I will present these as clinical studies. As a result of these studies, it will help me as I climb the academic career steps and achieving my goals motivates me.
17;Obezite tedavimdeki ana etken hastalarımın bu tedaviye uyum sağlaması ve düzenli kullanmasıdır. Tedavi uyumu yüksek olan ve hastalarımın kullanırken kafa karışıklığı yaşamaması o ürünü tercih etmemi sağlar. Hasta uyumunu artıran bir ürün ile hastalarım daha kolay ve hızlı şekilde tedaviye adepte olur ve buda klinik başarımı artırarak konfor alanımı genişletir.;The main factor in my obesity treatment is that my patients adapt to this treatment and use it regularly. It is the product that has high treatment compliance and that my patients do not experience any confusion while using it, which makes me prefer that product. With a product that increases patient compliance, my patients adapt to treatment more easily and quickly, which increases my clinical success and expands my comfort zone.
18;Obezite tedavisini planlarken, yaş, cinsiyet, boy , kilo, eğitim durumu, alım gücü, daha önce denediği tedaviler gibi bir çok veriyi sentezliyorum. Bu şekilde hastamın tedaviye uyum sağlayıp sağlayamayacağını değerlendirerek doğru tedaviyi sunuyorum. Eğer belirli kriterlere uygun olursa hastama tedavi başlamış oluyorum. Çünkü bu şekilde hastam doğru tedaviyi almış ve uygulamış olacaktır. Bu tedavi başarısını artırdığı gibi klinik anlamda beni rahatlatacak ve daha az stres yaşamamı sağlayacaktır. Bu şekilde daha motive olnuş ve mutlu olmuş şekilde işimi yapabilirim.;When planning obesity treatment, I synthesize a lot of data such as age, gender, height, weight, education level, purchasing power, and previous treatments tried. In this way, I evaluate whether my patient can adapt to the treatment and offer the right treatment. If my patient meets certain criteria, I start treatment. Because in this way, my patient will receive and apply the correct treatment. This will not only increase the success of the treatment, but will also make me feel clinically more comfortable and less stressed. This way, I can do my job more motivated and happy.
19;Mesleki gelişimim için dijital kanalları kullanıyorum. Bilgiye hızlıca ulaşabildiğim online toplantı, sempozyum, komgre , yayın veya hoca sunumları gelişimime katkı sağlayacaktır. Bilgiye ne kadar hızlı ulaşırsam o kadar hızlı ve etkin şeklde hayatıma entegre edebilir ve kullanabilirim, bu şekilde kariyer yolculuğumda emin adımlarla ilerlerim. Buda mesleki açıdan mutlu olmamı sağlar.;I use digital channels for my professional development. Online meetings, symposiums, congresses, publications or teacher presentations where I can access information quickly will contribute to my development. The faster I access information, the faster and more effectively I can integrate it into my life and use it, thus taking firm steps forward in my career journey. This makes me happy professionally.
20;Geri ödemesiz ilaç tercih ederken hastanın alım gücüne göre öneride bulunurum. Hastalarımı ikna etmek için çaba harcamıyorum sadece ilacı aldıklarında sağlaycakları faydayı vurguluyorum. Hekim olarak görevim hastalarıma en uygun ve ulaşılabilir tedaviyi sunmak ve bu şekilde hastalarımı mutlu etmek. Bundan dolayı tedavimi alıp uyguladığında mutlu olurum fakat alım gücünden dolayı alamadığında alternatif tedavi seçeneklerini düşünür ve uygularım;When choosing a non-reimbursable medicine, I make recommendations based on the patient's purchasing power. I don't try to convince my patients, I just emphasize the benefits they will get when they take the medicine. My duty as a physician is to offer the most appropriate and accessible treatment to my patients and in this way to make my patients happy. Therefore, I will be happy when you buy and apply my treatment, but when you cannot buy it due to purchasing power, I think about alternative treatment options and apply them.
21;Obezite tedavisine başlarken hastanın VKİ oranına bakarım, eşlik eden hastalıklarını dikkate alırım. Hastamın VKİ oranı yüksek ve eşlik eden hastalıkları varsa en uygun tedavi şeklini belirler ve hastama uygularım. Yüksek VKİ ve eşlik eden hastalıklar obezite hastasının tedavi edilmesi gerektiğini ortaya koyar. Bu şekilde ilerde daha büyük risklerden kaçınmak adına ve hasta memnuniyeti adına mutlaka tedavi edilmesi gerektiğini düşünüyorum.;When starting obesity treatment, I look at the patient's BMI rate and take into account any accompanying diseases. If my patient has a high BMI and comorbidities, I determine the most appropriate treatment method and apply it to my patient. High BMI and accompanying diseases indicate that the obesity patient needs to be treated. I think it should be treated in this way in order to avoid greater risks in the future and for patient satisfaction.
22;Dijital yaşam bizi sedanter yaşama yönlendiiriyor nacak faydaları muhteşem. Yenilikleri ve gelişmeleri takip edebiliyorum . Yeni tedavi ve trendlerden herkesten önce keşfediyorum, meslektaşlarım ile sohbetlerimde beni ön plana çıkarıyor , kongrelerde hocalar ile fikir alışverişinde bulunuyorum , motivasyonumu arttırıyor,;Digital life leads us to a sedentary life, but its benefits are amazing. I can follow innovations and developments. I discover new treatments and trends before anyone else, it puts me at the forefront in my conversations with my colleagues, I exchange ideas with professors at congresses, it increases my motivation,
23;Hastaya değer fayda ayrımını doğru aktarmak gerekiyor. Fiyat konusunda sorunu olna hastalarımız oluyor tabiki ancak faydalarını anlattığınızda insanlar bu tedavilerden yararlanmak istiyor , tedaviyi önemsiyor .;It is necessary to convey the difference between value and benefit to the patient correctly. Of course, we have patients who have problems with the price, but when you explain the benefits, people want to benefit from these treatments and care about the treatment.
24;Önce Hasta motivasyonu sağlamak , tedavi sonrasında , mutluluğunu görmek mesleki tatmin açısından harika duygular yaşamama sebep oluyor. Obezite tedavisinde  yeni ürünleri  bekliyoruz;Providing patient motivation first and seeing their happiness after the treatment gives me great feelings of professional satisfaction. We are waiting for new products in obesity treatment
25;Ürün temsilcisi arkadaşlardan gelen mailler , online toplantılar veya webinarları takip etmeye çalışıyorum. Bilgiye hızlı erişim ve zaman kazancı sağlıyor . Hastalarıma ve kendime daha fazla zaman ayırabiliyorum.;I try to follow the e-mails, online meetings or webinars I receive from product representative friends. It provides quick access to information and saves time. I can devote more time to my patients and myself.
26;Hastaya medikal bir çözüm olduğunu söyleyerek başlıyorum, bu aşamada kaybedeceği kilolar ile birçok komplikasyonunda iyileşme sağlayabileceğini belirtiyorum. Fiyat en son söylediğim konu açıkcası çünkü ürünün katkılarına odaklanmasını istiyorum, fiyat konusunda çekinceleri varsa düşünmesini ve kararını daha sonra vermesini öneriyorum.;I start by telling the patient that there is a medical solution, and that he can improve many of his complications with the weight he will lose at this stage. Price is the last thing I mentioned, obviously, because I want the product to focus on its contributions, and if they have reservations about the price, I recommend that they think about it and make their decision later.
27;Hasta farkındalığı , mutluluğu ve istekmesi en önemli unsurlar. Eğer hasta söz ettiğim noktaysa yaptıpım tedaviden  benden keyif alıyorum . İş tatmini oluyor , hasta açısından kilo kaybı ile üzerinde ki yükü atıyor. Başka hastlarıma en iyi referansı yine hastalarım sağlıyor.;Patient awareness, happiness and willingness are the most important elements. If the patient is what I'm talking about, I enjoy the treatment I provide. Job satisfaction is achieved, and for the patient, the burden is relieved through weight loss. My patients provide the best reference to my other patients.
28;Digital dünyaya çok sıcak bir kişiyim. Yenilikleri çok sıkı takip ediyorum. Bazı uluslararası dergilere online aboneliklerim mevcut. Kongrelere fiziksel olarak katılımım olmasa da daha sonra sanal ortamda içerikleri seçerek gelişmeleri takip ediyorum;I am a person who is very warm to the digital world. I follow the innovations very closely. I have online subscriptions to some international magazines. Even though I do not physically attend the congresses, I follow the developments by selecting the contents in the virtual environment.
29;Hastalara tedavileri sunuyorum. Etkinlik , yan etki , kullanım ve tedavi başarılarını anlatıyor , geri ödeme bilgisini veriyor ve kararı hastanın vermesini istiyorum. Güven ilişkisi açısından doğru yaklaşımın böyle olduğunu düşünüyorum;I offer treatments to patients. I explain the effectiveness, side effects, usage and treatment successes, provide reimbursement information and ask the patient to make the decision. I think this is the right approach in terms of trust relationship.
30;Obezitenin hastayı getirmiş olduğu durumu inceliyorum. Obezite tedavisinin komplike bir tedavi olması gerektiğini ve farklı branşlar ile iş birliği ile ilerlemesi gerektiğini düşünüyorum, hasta motivasyonu en önemli konuların başında geliyor. Hekimler açıısından da obezite  tedavisi gelecekte çok fazla önem arz edecek. Hasta mutluluğu sağlayan hekimler mesleki tatmin yanısıra kariyer anlamında da avantajlı bir noktaya ulaşacaklar;I examine the situation that obesity brings to the patient. I think that obesity treatment should be a complicated treatment and should be progressed in cooperation with different branches, patient motivation is one of the most important issues. For physicians, obesity treatment will be of great importance in the future. Physicians who ensure patient happiness will reach an advantageous point in terms of career as well as professional satisfaction.
31;Pandemi döneminin bize kazandırdığı en büyük alışkanlıklardan biri dijital kanal kullanımımızın artması. Bu kanallar sayesinde artık katılamadığımız birçok toplantı ve kongreye evde hastane izleme şansım oluyor. Bu sayede ilgi alanım olan invaziv gelişmelere çok hızlı bir şekilde ulaşabiliyorum. Bu toplantılar sayesinde hastalarımın tedavilerini düzenliyor ve işlemlerimi buna göre yapıyorum. Hastalarımın tedavideki memnuniyeti hem onları hem de beni çok mutlu ediyor.;One of the biggest habits that the pandemic period has taught us is the increase in our use of digital channels. Thanks to these channels, I now have the chance to watch many meetings and congresses at home that we cannot attend. In this way, I can quickly access the invasive developments that interest me. Thanks to these meetings, I organize the treatments of my patients and carry out my procedures accordingly. My patients' satisfaction with the treatment makes both them and me very happy.
32;Birkaç kardiyoloji derneğinin her hafta düzenledği onlıne toplantılar oluyor. Bu toplantılara hem türkiyeden hem de yurtdışından konuşmacılar katılıyor. Bu toplantılara katılmak benim hem araştırmalarım için benim işimi çok kolaylaştırıyor hem de benim mesleki gelişimim için çok değerli oluyor. İnvaziv ile ilgili toplantılara katılmak beni işlemlerinde farklılaştırıyor ve bu da benim başarımı artırıyor.böylelikle bende çok mutlu oluyorum.;Several cardiology societies hold online meetings every week. Speakers from both Turkey and abroad attend these meetings. Participating in these meetings both makes my job much easier for my research and is very valuable for my professional development. Participating in invasive meetings differentiates me in my procedures and this increases my success. Thus, I am very happy.
33;Bana gelen hasta portföyü genellikle orta ekonomik düzeye sahipler. Ama bu durum beni geri ödemesiz ürün tercih ederken etkilemiyor. Hastalarımın tedavisi yapacak güvenilir ve etkili ürün geri ödemesiz ise ben bu ürünü tercik ederim. Hastalarımı öncelikle hastalıkları ile ilgili ayrıntılı bilgileri paylaşır ve bu tedavinin onlara sağlayacağı faydaları ve tedavi sonunda onları nelerin beklediğini anlatmak onların ekonomik durumundan bağımsız olarak ikna olmaları sağlar. Özellikle memnuniyetle geri dönen hastalarımın tedavi başarılarını görmek beni çok gururlandırıyor. Hastalarımda çok mutlu bana geliyor.;The patient portfolio that comes to me is generally of medium economic level. But this does not affect me when choosing a non-refundable product. If a reliable and effective product that will treat my patients is non-refundable, I would prefer this product. First of all, I share detailed information with my patients about their illness and explain the benefits of this treatment and what awaits them at the end of the treatment, ensuring that they are convinced, regardless of their economic situation. It makes me very proud to see the treatment success of my patients, especially those who return with satisfaction. My patients come to me very happy.
34;Obezite tedavisi bizim yeni ilgi alanımız. Yeni yeni öğreniyoruz. Bu nedenle özellikle kardiyolojik komorbitideleri olan uygun vki aralığında olan obeziteli hastalarıma tedaviye başlıyorum. Böylelikle bu tedavi onların bu komorbitelerin azalmasını hem dekilo kaybına sebep oluyor. Her hastamın vki leri ölçmeye çalışıyorum. Böylelikle hasta kaçırmamış oluoyoır ve her obeziteli hastama hastalığı le ilgili bilgilendirme yapıyorum. Böylelikle hastalarımın kilo kaybı sayesinde kardiyolojik semptomları çok azalmış oluyor. Bu da hastalarım için çok yönlü mutlulukları olmuş oluyor. Bu da beni çok mutlu ediyor.;Obesity treatment is our new area of ​​interest. We are just learning. For this reason, I start treatment especially for my obese patients who have cardiological comorbidities and are within the appropriate BMI range. Thus, this treatment reduces these comorbidities and causes weight loss. I try to measure the BMIs of each of my patients. In this way, I do not miss any patients and I inform each obese patient about their disease. Thus, my patients' cardiological symptoms are greatly reduced thanks to their weight loss. This creates multifaceted happiness for my patients. This makes me very happy.
35;Özellikle hastanın tedaviye uyumu, hekime olan güveni ve kendi özgüveni benim için çok önemli.Başlangıçta vki ölçümü sonrası hastalarımın ben ‘’obez değilim’’ yalancı itirazını yapmış olduğum açıklamalarla, bilimsel verilerle gardlarını kırıyorum.Bunu onların ilerleyen zamanlarda çıkabilecek komplikasyonlarını ortadan kaldırmak için yapıyorum.Başlangıçta bahsettiğim bu özgüven meselesini ortadan kaldırarak hastalarımın tedaviye güvenilir ve sonunda mutlu olmalarını sağlamak en önemli görevlerimden biri gibi geliyor;"Especially the patient's compliance with the treatment, his trust in the physician and his own self-confidence are very important to me. After the BMI measurement, I break the guards of my patients with scientific data and with the false objection of ""I am not obese"" after the BMI measurement. I do this to eliminate complications that may arise in the future. It seems to be one of my most important duties to eliminate this self-confidence issue that I mentioned at the beginning and to ensure that my patients trust the treatment and are happy in the end."
36;Pandemi döneminde alıştığımız dijital kanal kullanımı işlerimi çok kolaylaştırdı.Eskiden çok fazla seyahat gerçekleştirirdim şimdi tüm dünya ile uzakları yakın ediyorum.Ekonomik şartlardan kaynaklı gidemediğimiz kongreleri dijital platformlarda takip etme şansı buluyorum.Bu sayede tüm yeni gelişmelerden uzak kalmayıp hastalarımı güncel tedavilerle buluşturuyorum.Şehir hastanelerinin hasta yükü çok fazla olması sebebiyle aldığım tüm yeni bilgileri pratikte kullanmak beni ayrıca mutlu ediyor;The use of digital channels, which we have become accustomed to during the pandemic period, has made my work much easier. I used to travel a lot, now I make distant places close to the whole world. I have the chance to follow the congresses that we could not attend due to economic conditions on digital platforms. In this way, I do not stay away from all the new developments and introduce my patients to the current treatments. Patients of city hospitals It also makes me happy to use all the new information I have acquired in practice, since the workload is very high.
37;Şehir hastanesinde görev yapan bir hekim olarak gelen hasta profilim her zaman için geri ödemede olmayan ürünlere müsait olmuyor.Ancak hastalara ürünün kar/zarar dengesini ve yurtdışı kaynaklarından aldığım bilgileri doğru anlattığım takdirde ikna olduklarını gözlemliyorum.Amacım tamamen hastalarımın tedavilerini doğru düzenlemek üzerine oluyor.Doğru düzenlenmediği taktirde hem kendisine hemde devletin bütçesine gereksiz ödemeler çıkarmak beni mutsuz ediyor.Böyle yaklaştığımda hastalarım tedaviye ikna oluyor;As a physician working in a city hospital, my patient profile is not always suitable for non-reimbursable products. However, I observe that patients are convinced if I explain correctly the profit/loss balance of the product and the information I receive from foreign sources. My aim is entirely to organize the treatments of my patients correctly. If it is not arranged correctly. Otherwise, making unnecessary payments to both myself and the state's budget makes me unhappy. When I approach this way, my patients are convinced for treatment.
38;Yağlı karaciğer hastalığında spesifik olarak kullanılan bir farkolojik ajan olmadığı için ilk yapmamız gereken şey hastanın kilosunu azaltmak.Bu yüzden ilk tercihimi etkileyen şey obezite ürünleri oluyor.Hastalığın seyrini durdurmak veya geriletmek için tercih ediyorum.Hastalarım 4-6 ay arası kullandığında sonuları karşısında inanılmaz pozitif dönüş sağlıyorlar ve bu da benim tedavi başarımı artırdığı için hem tedaviye hem de ürüne olan bağlılığımı artırıyor;Since there is no pharmacological agent specifically used in fatty liver disease, the first thing we need to do is to reduce the patient's weight. Therefore, the first thing that affects my choice is obesity products. I prefer it to stop or regress the course of the disease. When my patients use it for 4-6 months, the results are incredibly positive. and this increases my commitment to both the treatment and the product as it increases my treatment success.
39;Ben koruyucu kardiyoloji hekimliğine önem veriyorum. Bu konuda sürekli hastalarımla iletişim halinde olmak ve onların tedavilerini şekillendirmek beni çok mutlu ediyor. Bana göre bir kardiyoloji hekimi hem koruyucu hekimlik yapmalı hem de işlemlerine devam etmeli. Bu anlamda tedavilerini şekillendirirken eğer onların tedavilerinde işe yarayacak güvenilir ve etkili ürün geri ödemesiz ise hastalarıma bu ilacın onlara olan faydalarını anlatırım. Hastalarımın hastalıkları konusundaki endişelerini ve neye ihtiyacı olduklarını anlar ve onlarla bu konudaki araştırmalarımı ve bilgilerimi paylaşırım. Bu ayrıntılı iletişim ve onların duygularını anlama metodu ile çoğu hastamın güvenini kazanır ve onların tedaviye ikna olmalarını sağlarım.;I attach importance to preventive cardiology medicine. It makes me very happy to be in constant communication with my patients and shape their treatments. In my opinion, a cardiologist should both practice preventive medicine and continue his procedures. In this sense, while shaping their treatments, if the reliable and effective product that will be useful in their treatments is non-refundable, I tell my patients about the benefits of this medicine for them. I understand my patients' concerns about their diseases and what they need, and I share my research and knowledge on this subject with them. With this method of detailed communication and understanding their feelings, I gain the trust of most of my patients and ensure that they are convinced of the treatment.
